date,mm_long,mm_short,mm_net,open_interest
2006-06-13,99739,29859,69880,288981
2006-06-20,91198,30082,61116,288148
2006-06-27,88635,31420,57215,292789
2006-07-03,90104,30778,59326,292500
2006-07-11,101019,29135,71884,312684
2006-07-18,105068,25797,79271,324276
2006-07-25,96891,23984,72907,315635
2006-08-01,95785,25176,70609,304907
2006-08-08,100994,26676,74318,309097
2006-08-15,94115,26225,67890,313327
2006-08-22,87386,27081,60305,306171
2006-08-29,80809,31280,49529,307583
2006-09-05,87652,29430,58222,319998
2006-09-12,76571,30631,45940,310510
2006-09-19,72225,30632,41593,325852
2006-09-26,68325,33001,35324,322937
2006-10-03,66119,33666,32453,330065
2006-10-10,62270,39206,23064,334329
2006-10-17,64602,42773,21829,329875
2006-10-24,54019,43840,10179,331598
2006-10-31,59985,39093,20892,323481
2006-11-07,76134,32604,43530,335036
2006-11-14,79157,29403,49754,356575
2006-11-21,77773,29323,48450,355430
2006-11-28,75457,30862,44595,349517
2006-12-05,80731,28684,52047,330530
2006-12-12,78367,28281,50086,333101
2006-12-19,68672,29711,38961,337096
2006-12-26,69815,31696,38119,340473
2007-01-03,77786,30994,46792,353494
2007-01-09,65657,39661,25996,347491
2007-01-16,68430,33371,35059,344685
2007-01-23,85684,27746,57938,361114
2007-01-30,99352,29366,69986,348035
2007-02-06,109228,27766,81462,360936
2007-02-13,121684,24627,97057,383169
2007-02-20,121632,25830,95802,396115
2007-02-27,135725,23488,112237,415155
2007-03-06,90236,21355,68881,382550
2007-03-13,86278,18012,68266,394090
2007-03-20,84393,17292,67101,359726
2007-03-27,88263,19339,68924,359434
2007-04-03,92087,23268,68819,347817
2007-04-10,106783,23048,83735,369536
2007-04-17,124963,18323,106640,380800
2007-04-24,124958,20388,104570,403388
2007-05-01,122272,18137,104135,396276
2007-05-08,129038,14702,114336,411273
2007-05-15,107716,20305,87411,408936
2007-05-22,95529,29281,66248,416813
2007-05-29,91921,28204,63717,425688
2007-06-05,101257,24239,77018,385046
2007-06-12,80246,36872,43374,412150
2007-06-19,81722,31746,49976,410324
2007-06-26,72368,45874,26494,407640
2007-07-03,69308,34443,34865,375642
2007-07-10,72474,33675,38799,387916
2007-07-17,72985,27947,45038,385595
2007-07-24,114752,19037,95715,401603
2007-07-31,76461,21368,55093,351185
2007-08-07,84522,20981,63541,352908
2007-08-14,77995,12117,65878,347973
2007-08-21,65359,22367,42992,330204
2007-08-28,66292,16289,50003,325767
2007-09-04,85525,11759,73766,339439
2007-09-11,109090,8575,100515,373686
